accession,source,country,year
ERR3333478,Human,Germany,2004
SRR9301096,Environment,United States,2019
SRR9301084,Companion Animal,United States,2018
SRR9615917,Human,France,2016
SRR9620965,Companion Animal,United States,2018
SRR9620960,Companion Animal,United States,2018
SRR9620953,Companion Animal,United States,2018
SRR9620952,Companion Animal,United States,2018
SRR9620950,Companion Animal,United States,2018
SRR9620946,Companion Animal,United States,2018
SRR9620942,Companion Animal,United States,2018
SRR9620940,Companion Animal,United States,2019
SRR9620925,Companion Animal,United States,2018
SRR9620924,Companion Animal,United States,2018
SRR9620921,Companion Animal,United States,2019
SRR9620892,Companion Animal,United States,2018
SRR9620890,Companion Animal,United States,2018
SRR9620883,Companion Animal,United States,2018
SRR9734793,Human,Australia,2016
SRR10094627,Companion Animal,Pakistan,2016
SRR10103880,Human,Canada,2007
SRR10115845,Human,Canada,2008
SRR10126951,Human,Australia,2017
SRR10163891,Human,Canada,2010
SRR10173687,Human,Canada,2011
SRR10207198,Human,Canada,2012
SRR10235879,Human,Canada,2013
SRR10286137,Human,New Zealand,2016
SRR10286349,Human,New Zealand,2016
SRR10272840,Human,Canada,2007
SRR9988394,Human,United States,2017
SRR10429372,Companion Animal,United States,2019
SRR10429356,Companion Animal,United States,2019
SRR10429348,Companion Animal,United States,2019
SRR10429344,Companion Animal,United States,2019
SRR10429313,Companion Animal,United States,2019
SRR10429309,Companion Animal,United States,2019
SRR10429307,Companion Animal,United States,2019
SRR10429295,Companion Animal,United States,2019
SRR10429282,Companion Animal,United States,2019
SRR10429277,Companion Animal,United States,2019
SRR10006051,Human,Laos,2015
SRR10006055,Human,Laos,2015
SRR10006056,Human,Laos,2015
SRR10006058,Human,Laos,2015
SRR10006059,Human,Laos,2015
SRR10006105,Human,Laos,2015
SRR10006107,Human,Laos,2015
SRR10006108,Human,Laos,2015
SRR8505979,Human,Niger,2012
SRR8505980,Human,Niger,2012
SRR7851090,Human,Singapore,2015
SRR10525639,Human,Canada,2016
SRR10512969,Human,Canada,2016
SRR10512539,Aquatic Animal,United States,2019
SRR10512537,Environment,United States,2019
SRR10512508,ND,United States,2019
SRR10512503,ND,United States,2019
SRR10665529,ND,United States,2019
SRR10665526,Companion Animal,United States,2019
SRR10665525,Environment,United States,2019
SRR10665524,ND,United States,2019
SRR10665523,Environment,United States,2019
SRR10665517,ND,United States,2019
SRR10665516,Companion Animal,United States,2019
SRR10665510,Companion Animal,United States,2019
SRR10665505,Companion Animal,United States,2019
SRR10665503,Companion Animal,United States,2019
SRR10665499,ND,United States,2019
SRR10665491,ND,United States,2019
SRR10752090,Companion Animal,United States,2019
SRR10751454,Companion Animal,United States,2019
SRR10751453,ND,United States,2019
SRR10750973,Companion Animal,United States,2019
SRR10749233,Companion Animal,United States,2019
SRR11038970,Environment,Switzerland,2019
SRR11038969,Environment,Switzerland,2019
ERR3375690,NA,Norway,2016
ERR3375634,NA,Norway,2016
SRR11341626,Wild Animal,Australia,2019
SRR11486735,Companion Animal,United States,2020
SRR11486736,Environment,United States,2020
SRR11486737,Environment,United States,2020
SRR11486738,Companion Animal,United States,2019
SRR11486742,Companion Animal,United States,2019
SRR11486743,Companion Animal,United States,2019
SRR11486744,Companion Animal,United States,2019
SRR10761131,Human,Indonesia,2018
SRR10230871,Companion Animal,United Kingdom,2013
SRR8737876,Environment,Germany,2017
