Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12352183_1	SRR12352183_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1293574.0	0.0	35-251	51.0	76.05343236265243	236.2762563254982	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR12352183_2	SRR12352183_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1293574.0	0.0	35-251	51.0	82.5852317578884	236.5268782458522	pass	fail		pass	warn	warn	pass	warn	pass	pass	pass
SRR12358935_1	SRR12358935_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	638314.0	0.0	35-251	50.0	78.8130767109959	244.43150706392152	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR12358935_2	SRR12358935_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	638314.0	0.0	35-251	50.0	79.4947658442743	244.44193296716037	pass	warn		pass	fail	fail	pass	warn	pass	pass	pass
SRR12462369_1	SRR12462369_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1305610.0	0.0	35-251	50.0	68.86687699672527	242.0854389902038	pass	pass		pass	fail	fail	pass	warn	warn	pass	pass
SRR12462369_2	SRR12462369_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1305610.0	0.0	35-251	50.0	70.22977672642038	242.09954350839837	pass	warn		pass	fail	fail	pass	warn	pass	pass	pass
SRR12462373_1	SRR12462373_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1206621.0	0.0	35-251	50.0	69.54156145285216	243.0687365792573	pass	pass		pass	fail	fail	pass	warn	warn	pass	pass
SRR12462373_2	SRR12462373_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1206621.0	0.0	35-251	50.0	71.1279499613893	243.08886883288125	pass	warn		pass	fail	fail	pass	warn	pass	pass	pass
SRR12508632_1	SRR12508632_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2895741.0	0.0	36-151	52.0	60.25709351978365	132.25816086452483	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass
SRR12508632_2	SRR12508632_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2895741.0	0.0	36-151	52.0	62.47472407586121	130.2622879601456	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass
SRR12508892_1	SRR12508892_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2916092.0	0.0	36-151	51.0	54.82190400323665	149.55811236408178	pass	pass		pass	warn	pass	pass	warn	warn	pass	pass
SRR12508892_2	SRR12508892_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2916092.0	0.0	36-151	51.0	57.85352989141992	143.64989856287113	pass	pass		pass	warn	warn	pass	warn	warn	pass	pass
SRR12509131_1	SRR12509131_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1065860.0	0.0	36-301	51.0	75.15726928015856	250.91383389938642	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR12509131_2	SRR12509131_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1065860.0	0.0	36-301	51.0	75.59736482915184	211.71432645938492	pass	warn		pass	fail	warn	pass	warn	pass	pass	pass
SRR12517447_1	SRR12517447_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1652845.0	0.0	18-131	50.0	49.22001600668814	128.0597739049941	pass	pass		pass	warn	warn	pass	warn	fail	warn	pass
SRR12517447_2	SRR12517447_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1652845.0	0.0	18-143	50.0	65.06490709097058	140.0905650560095	pass	pass		pass	warn	warn	pass	warn	warn	warn	pass
SRR12517471_1	SRR12517471_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2182377.0	0.0	18-131	50.0	45.59252795751824	128.091465864972	pass	pass		pass	warn	warn	pass	warn	fail	warn	pass
SRR12517471_2	SRR12517471_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2182377.0	0.0	18-143	50.0	60.453967449078384	140.1520745499059	pass	pass		pass	warn	warn	pass	warn	warn	warn	pass
SRR12519146_1	SRR12519146_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	596604.0	0.0	35-251	50.0	82.82867304326501	237.15370329397726	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR12519146_2	SRR12519146_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	596604.0	0.0	35-251	50.0	85.33002624536928	237.4914063599976	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR12569950_1	SRR12569950_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1613501.0	0.0	35-151	46.0	64.0522948291383	132.78437261582113	pass	pass		pass	warn	fail	pass	warn	warn	pass	pass
SRR12569950_2	SRR12569950_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1613501.0	0.0	35-151	46.0	65.44940891081835	133.68291125942903	pass	pass		pass	warn	fail	pass	warn	warn	pass	pass
SRR12570014_1	SRR12570014_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1558345.0	0.0	35-149	48.0	72.97197769758219	130.87043947264567	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR12570014_2	SRR12570014_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1558345.0	0.0	35-149	48.0	74.60954418838999	131.0330639235856	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR12570020_1	SRR12570020_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1535242.0	0.0	35-151	48.0	77.27142941527131	129.79146544974668	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR12570020_2	SRR12570020_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1535242.0	0.0	35-151	48.0	78.55174668416652	130.24999511477668	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR12769881_1	SRR12769881_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1185490.0	0.0	35-101	49.0	78.98820884290268	98.68036845523793	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR12769881_2	SRR12769881_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1185490.0	0.0	35-101	49.0	80.0851300792433	98.67997874296704	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR12902520_1	SRR12902520_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1112494.0	0.0	35-251	51.0	92.00664949112507	229.69732510916913	pass	pass		pass	warn	warn	pass	warn	pass	warn	pass
SRR12902520_2	SRR12902520_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1112494.0	0.0	35-251	51.0	92.8597878295627	230.27055067263285	pass	warn		pass	warn	warn	pass	warn	pass	pass	pass
SRR12902538_1	SRR12902538_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	966946.0	0.0	35-251	51.0	93.53652362244024	227.95172636320953	pass	warn		pass	warn	warn	pass	warn	pass	pass	pass
SRR12902538_2	SRR12902538_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	966946.0	0.0	35-251	53.0	96.00746954846865	236.15604801095407	pass	fail		warn	warn	warn	pass	warn	pass	pass	pass
SRR12902581_1	SRR12902581_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	930987.0	0.0	35-251	51.0	93.61949872718155	232.47515378839876	pass	pass		pass	warn	fail	pass	warn	pass	fail	pass
SRR12902581_2	SRR12902581_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	930987.0	0.0	35-251	51.0	96.41505398170736	233.55700348125163	pass	fail		pass	fail	warn	pass	warn	pass	pass	pass
SRR12903819_1	SRR12903819_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	636894.0	0.0	35-251	51.0	83.48962455817592	245.7445194961799	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR12903819_2	SRR12903819_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	636894.0	0.0	35-251	51.0	87.31561492800809	245.81577154126117	pass	warn		pass	fail	warn	pass	warn	pass	pass	pass
SRR12903829_1	SRR12903829_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1557150.0	0.0	35-251	51.0	70.40532307339899	242.0397482580355	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR12903829_2	SRR12903829_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1557150.0	0.0	35-251	51.0	77.04658107696356	242.32971582699162	pass	fail		pass	fail	warn	pass	warn	pass	pass	pass
SRR12903833_1	SRR12903833_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1373941.0	0.0	35-251	51.0	75.79557002774393	218.24260575963598	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
